Pies,Toppings,Price,Rating
Margherita,Mozzarella & Basil,$12.99,⭐⭐⭐⭐⭐
Pepperoni Classic,Pepperoni & Cheese,$14.99,⭐⭐⭐⭐⭐
Hawaiian,Ham & Pineapple,$13.99,⭐⭐⭐⭐
Meat Lovers,Pepperoni & Sausage & Bacon,$17.99,⭐⭐⭐⭐⭐
Veggie Supreme,Peppers & Onions & Mushrooms,$15.99,⭐⭐⭐⭐⭐
BBQ Chicken,Chicken & BBQ Sauce & Onions,$16.99,⭐⭐⭐⭐⭐
Four Cheese,Mozzarella & Parmesan & Gorgonzola & Ricotta,$14.99,⭐⭐⭐⭐
Spicy Italian,Salami & Jalapeños & Hot Sauce,$15.99,⭐⭐⭐⭐⭐
White Pizza,Ricotta & Garlic & Spinach,$13.99,⭐⭐⭐⭐
Mediterranean,Feta & Olives & Tomatoes,$14.99,⭐⭐⭐⭐⭐

